T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,DH1,DH2,DH3,GT_F,GT_M,KV_1,KV_2,KV_2NT,KT_A,KT_A1,KT_B,KT_C,KT_D1
0.6956521739130435,0.8870967741935483,0.540983606557377,0.782608695652174,0.6964285714285714,0.8275862068965517,0.7794117647058821,0.41538461538461535,0.823529411764706,1.0,0.4655172413793103,0.9,0.5918367346938775,0.8823529411764701,0.6,0.44067796610169485,0.7083333333333335,0.7666666666666666,0.31034482758620696,0.5471698113207546,0.7857142857142858,0.8783783783783783,0.7499999999999999,0.43103448275862066,0.6615384615384616,0.6875,0.4285714285714286,0.5925925925925926,0.6511627906976744,0.4137931034482759,0.6808510638297871,0.4444444444444444,0.6769230769230771,0.5172413793103448,0.431372549019608,0.4107142857142859,0.8695652173913045,0.3484848484848484,0.74468085106383,0.32203389830508466,0.5517241379310345,0.3269230769230771,0.48076923076923084,0.6315789473684209,1.0,0.48275862068965525,0.7441860465116279,0.46153846153846156,0.375,0.2692307692307692,0.33333333333333337,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.4347826086956522,0.3387096774193548,0.14754098360655737,0.30434782608695654,0.4107142857142858,0.39655172413793105,0.48529411764705876,0.0,0.5147058823529412,0.46153846153846156,0.017241379310344862,0.5400000000000001,0.34693877551020424,0.3725490196078429,0.1454545454545455,0.2542372881355932,0.2777777777777778,0.16666666666666669,0.051724137931034475,0.0,0.48214285714285715,0.5675675675675673,0.27083333333333337,0.18965517241379315,0.30769230769230776,0.015625,0.2857142857142857,0.09259259259259256,0.41860465116279066,0.6206896551724138,0.5744680851063828,0.2222222222222222,0.0,0.3448275862068964,0.0980392156862746,0.267857142857143,0.08695652173913038,0.5454545454545453,0.5957446808510639,0.22033898305084743,0.051724137931034475,0.2692307692307694,0.0,0.2807017543859649,0.32558139534883723,0.48275862068965525,0.39534883720930236,0.17307692307692313,0.8333333333333334,0.38461538461538464,0.1428571428571429,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.46376811594202894,0.8064516129032258,0.6885245901639345,0.8115942028985507,0.2142857142857142,0.7413793103448275,0.5588235294117646,0.0615384615384616,0.32352941176470595,0.3846153846153847,0.5344827586206896,0.31999999999999995,0.3265306122448979,0.5686274509803919,0.018181818181818188,0.288135593220339,0.06944444444444448,0.5833333333333333,0.48275862068965536,0.35849056603773577,0.0,0.4594594594594594,0.12499999999999989,0.06896551724137934,0.4923076923076923,0.53125,0.4107142857142858,0.5185185185185184,0.04651162790697683,0.5172413793103449,0.0851063829787233,0.11111111111111105,0.27692307692307694,0.4310344827586206,0.4901960784313727,0.3035714285714286,0.021739130434782594,0.6363636363636364,0.0,0.016949152542372836,0.3448275862068966,0.5,0.5384615384615385,0.5614035087719297,0.0,0.7068965517241381,0.8604651162790697,0.21153846153846145,0.6666666666666666,0.8076923076923077,0.23809523809523814,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.6086956521739131,0.7419354838709677,0.3770491803278689,0.7246376811594203,0.4107142857142858,0.7241379310344825,0.6470588235294117,0.46153846153846145,0.3382352941176471,0.5846153846153846,0.4137931034482758,0.20000000000000007,0.1428571428571429,0.4509803921568627,0.18181818181818188,0.2033898305084746,0.5000000000000001,0.7499999999999998,0.4310344827586209,0.2264150943396227,0.5714285714285716,0.5945945945945945,0.47916666666666663,0.36206896551724144,0.18461538461538457,0.265625,0.1071428571428571,0.6111111111111109,0.34883720930232565,0.6379310344827586,0.5106382978723403,0.38888888888888884,0.4769230769230769,0.3965517241379311,0.27450980392156865,0.1071428571428572,0.5000000000000001,0.4242424242424242,0.4255319148936171,0.5762711864406779,0.6379310344827587,0.3076923076923077,0.5,0.5614035087719297,0.5813953488372091,0.5689655172413794,0.6744186046511629,0.7500000000000001,0.5416666666666666,0.4230769230769231,0.4761904761904763,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5217391304347827,0.5161290322580645,0.49180327868852464,0.782608695652174,0.6071428571428572,0.793103448275862,0.8676470588235293,0.5076923076923076,0.3823529411764707,0.476923076923077,0.48275862068965514,0.6,0.5714285714285714,0.5294117647058822,0.6727272727272727,0.5423728813559323,0.7361111111111112,0.7999999999999998,0.5689655172413793,0.5471698113207546,0.5714285714285716,0.7432432432432432,0.6041666666666666,0.689655172413793,0.23076923076923078,0.59375,0.375,0.7962962962962963,0.5581395348837211,0.2586206896551725,0.7872340425531914,0.7777777777777777,0.5846153846153846,0.4827586206896552,0.15686274509803932,0.2857142857142858,0.26086956521739124,0.6515151515151515,0.6595744680851064,0.542372881355932,0.7413793103448276,0.42307692307692313,0.5384615384615385,0.5789473684210525,0.5813953488372091,0.39655172413793105,0.7209302325581397,0.7115384615384618,0.5416666666666666,0.4615384615384615,0.4285714285714286,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0000000000000002,0.9354838709677418,0.8032786885245902,0.9710144927536232,0.6964285714285714,0.7241379310344825,0.8382352941176469,0.7846153846153846,1.0,0.8307692307692307,0.8448275862068965,0.84,0.8163265306122449,0.7450980392156861,0.9636363636363635,1.0,0.6666666666666667,0.9499999999999997,0.810344827586207,0.9433962264150944,0.8392857142857144,0.8108108108108107,0.6666666666666666,0.8448275862068965,0.8615384615384616,0.90625,0.75,0.9629629629629628,0.9767441860465117,0.5517241379310346,0.5106382978723403,0.9814814814814816,0.8461538461538461,0.8620689655172411,0.823529411764706,1.0,0.9782608695652176,0.5909090909090907,0.5744680851063829,0.8644067796610168,0.7068965517241379,0.4615384615384617,0.6153846153846156,0.719298245614035,0.8372093023255814,0.3275862068965518,0.8372093023255816,0.826923076923077,0.08333333333333334,0.38461538461538464,0.6190476190476191,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0579710144927536,0.3387096774193548,0.40983606557377056,0.7246376811594203,0.3392857142857143,0.7241379310344825,0.38235294117647045,0.36923076923076925,0.23529411764705888,0.6615384615384616,0.4137931034482758,0.64,0.26530612244897966,0.4705882352941173,0.4,0.23728813559322026,0.3194444444444444,0.3333333333333333,0.1724137931034483,0.8301886792452831,0.5535714285714286,0.48648648648648646,0.0625,0.10344827586206895,0.276923076923077,0.5625,0.2321428571428571,0.574074074074074,0.6976744186046512,0.7413793103448277,0.3617021276595742,0.38888888888888884,0.36923076923076925,0.32758620689655166,0.21568627450980393,0.2857142857142858,0.4347826086956522,0.515151515151515,0.46808510638297884,0.2881355932203389,0.27586206896551724,0.5769230769230771,0.3846153846153848,0.36842105263157887,0.46511627906976727,0.48275862068965525,0.37209302325581395,0.48076923076923095,0.9166666666666666,0.8076923076923077,0.4761904761904763,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.8550724637681162,0.6774193548387097,0.7540983606557377,0.46376811594202894,0.7857142857142858,0.27586206896551724,0.5588235294117646,0.6769230769230768,0.573529411764706,0.6,0.5689655172413793,0.5199999999999999,0.7346938775510203,0.5294117647058822,0.4,0.7966101694915255,0.875,0.48333333333333334,0.6034482758620691,0.5471698113207546,0.8750000000000002,0.48648648648648646,0.27083333333333337,0.5517241379310346,0.8307692307692309,0.40625,0.4821428571428572,0.4444444444444444,0.883720930232558,0.3448275862068967,0.3829787234042552,0.5185185185185184,0.8461538461538461,0.7586206896551724,0.431372549019608,0.5357142857142859,0.5869565217391305,0.3181818181818181,0.74468085106383,0.6440677966101694,0.7931034482758623,0.5192307692307694,0.3076923076923077,0.4035087719298246,0.7441860465116278,0.5689655172413794,0.558139534883721,0.6730769230769232,0.45833333333333337,0.4615384615384615,0.2857142857142858,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5942028985507247,0.7258064516129032,0.7540983606557377,0.5942028985507247,0.4285714285714286,0.689655172413793,0.6323529411764705,0.3384615384615385,0.6617647058823529,0.676923076923077,0.7241379310344825,0.4,0.5510204081632655,0.7254901960784312,0.6727272727272727,0.0847457627118644,0.5694444444444445,0.6499999999999999,0.5689655172413793,0.679245283018868,0.6607142857142858,0.49999999999999983,0.7708333333333331,0.4137931034482759,0.8,0.515625,0.5,0.7037037037037037,0.7906976744186048,0.7241379310344828,0.7659574468085106,0.40740740740740744,0.7230769230769231,0.8448275862068964,0.9607843137254904,0.5535714285714287,0.3695652173913043,0.4393939393939392,0.6808510638297872,0.6101694915254238,0.6896551724137931,0.903846153846154,0.9423076923076925,0.6842105263157893,0.4418604651162791,0.913793103448276,0.8139534883720934,0.5000000000000001,0.41666666666666663,0.30769230769230776,0.7619047619047619,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7101449275362319,0.6612903225806452,0.27868852459016397,0.753623188405797,0.6428571428571428,0.8275862068965517,0.6911764705882352,0.7538461538461537,0.7647058823529412,0.676923076923077,0.775862068965517,0.4800000000000001,0.6326530612244898,0.7058823529411762,0.4545454545454547,0.7118644067796611,0.5833333333333334,0.7499999999999998,0.44827586206896564,0.7735849056603774,0.8392857142857144,0.7432432432432432,0.5416666666666666,0.7586206896551725,0.4000000000000001,0.671875,0.4464285714285714,0.5,0.9767441860465117,0.6551724137931035,0.2978723404255317,0.6851851851851851,0.6923076923076924,0.7586206896551724,0.8039215686274511,0.4464285714285715,0.6956521739130433,0.5454545454545453,0.25531914893617025,0.6779661016949151,0.5517241379310345,0.5769230769230771,0.5192307692307694,0.614035087719298,0.8372093023255814,0.44827586206896575,0.39534883720930236,0.826923076923077,0.5,0.5,0.5238095238095237,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
